Datetime,Water Level (m)
2024-01-28 12:00:00,-5.101
2024-01-28 13:00:00,-5.101
2024-01-28 14:00:00,-5.101
2024-01-28 15:00:00,-5.101
2024-01-28 16:00:00,-5.101
2024-01-28 17:00:00,-5.101
2024-01-28 18:00:00,-5.101
2024-01-28 19:00:00,-5.101
2024-01-28 20:00:00,-5.101
2024-01-28 21:00:00,-5.101
2024-01-28 22:00:00,-5.101
2024-01-28 23:00:00,-5.101
2024-01-29 00:00:00,-5.101
2024-01-29 01:00:00,-5.101
2024-01-29 02:00:00,-5.101
2024-01-29 03:00:00,-5.101
2024-01-29 04:00:00,-5.101
2024-01-29 05:00:00,-5.101
2024-01-29 06:00:00,-5.101
2024-01-29 07:00:00,-5.101
2024-01-29 08:00:00,-5.101
2024-01-29 09:00:00,-5.101
2024-01-29 10:00:00,-5.101
2024-01-29 11:00:00,-5.101
2024-01-29 12:00:00,-5.101
2024-01-29 13:00:00,-5.101
2024-01-29 14:00:00,-5.101
2024-01-29 15:00:00,-5.101
2024-01-29 16:00:00,-5.101
2024-01-29 17:00:00,-5.101
2024-01-29 18:00:00,-5.101
2024-01-29 19:00:00,-5.101
2024-01-29 20:00:00,-5.101
2024-01-29 21:00:00,-5.101
2024-01-29 22:00:00,-5.101
2024-01-29 23:00:00,-5.101
2024-01-30 00:00:00,-5.101
2024-01-30 01:00:00,-5.101
2024-01-30 02:00:00,-5.101
2024-01-30 03:00:00,-5.101
2024-01-30 04:00:00,-5.101
2024-01-30 05:00:00,-5.101
2024-01-30 06:00:00,-5.101
2024-01-30 07:00:00,-5.101
2024-01-30 08:00:00,-5.101
2024-01-30 09:00:00,-5.101
2024-01-30 10:00:00,-5.101
2024-01-30 11:00:00,-5.101
2024-01-30 12:00:00,-5.101
2024-01-30 13:00:00,-5.101
2024-01-30 14:00:00,-5.101
2024-01-30 15:00:00,-5.101
2024-01-30 16:00:00,-5.101
2024-01-30 17:00:00,-5.101
2024-01-30 18:00:00,-5.101
2024-01-30 19:00:00,-5.101
2024-01-30 20:00:00,-5.101
2024-01-30 21:00:00,-5.101
2024-01-30 22:00:00,-5.101
2024-01-30 23:00:00,-5.101
2024-01-31 00:00:00,-5.101
2024-01-31 01:00:00,-5.101
2024-01-31 02:00:00,-5.101
2024-01-31 03:00:00,-5.101
2024-01-31 04:00:00,-5.101
2024-01-31 05:00:00,-5.101
2024-01-31 06:00:00,-5.101
2024-01-31 07:00:00,-5.101
2024-01-31 08:00:00,-5.101
2024-01-31 09:00:00,-5.101
2024-01-31 10:00:00,-5.101
2024-01-31 11:00:00,-5.101
2024-01-31 12:00:00,-5.101
2024-01-31 13:00:00,-5.101
2024-01-31 14:00:00,-5.101
2024-01-31 15:00:00,0.10090397
2024-01-31 16:00:00,0.08930524
2024-01-31 17:00:00,0.11092648
2024-01-31 18:00:00,0.111499436
2024-01-31 19:00:00,0.11335795
2024-01-31 20:00:00,0.11109274
2024-01-31 21:00:00,0.11277349
2024-01-31 22:00:00,0.11345437
2024-01-31 23:00:00,0.112606496
2024-02-01 00:00:00,0.1112655
2024-02-01 01:00:00,0.11074494
2024-02-01 02:00:00,0.11173551
2024-02-01 03:00:00,0.112081714
2024-02-01 04:00:00,0.11418287
2024-02-01 05:00:00,0.11729493
2024-02-01 06:00:00,0.119348675
2024-02-01 07:00:00,0.12151761
2024-02-01 08:00:00,0.121271245
2024-02-01 09:00:00,0.120587766
2024-02-01 10:00:00,0.12058022
2024-02-01 11:00:00,0.11849679
2024-02-01 12:00:00,0.11627622
2024-02-01 13:00:00,0.116056874
2024-02-01 14:00:00,0.116911516
2024-02-01 15:00:00,0.11934482
2024-02-01 16:00:00,0.12206524
2024-02-01 17:00:00,0.12379743
2024-02-01 18:00:00,0.12419598
2024-02-01 19:00:00,0.12463484
2024-02-01 20:00:00,0.12580006
2024-02-01 21:00:00,0.12545182
2024-02-01 22:00:00,0.12519942
2024-02-01 23:00:00,0.12398191
2024-02-02 00:00:00,0.122829266
2024-02-02 01:00:00,0.12151643
2024-02-02 02:00:00,0.12038676
2024-02-02 03:00:00,0.12001365
2024-02-02 04:00:00,0.1203222
2024-02-02 05:00:00,0.12124692
2024-02-02 06:00:00,0.12410293
2024-02-02 07:00:00,0.12698926
2024-02-02 08:00:00,0.13045701
2024-02-02 09:00:00,0.13428183
2024-02-02 10:00:00,0.13457598
2024-02-02 11:00:00,0.13195704
2024-02-02 12:00:00,0.124139786
2024-02-02 13:00:00,0.1142696
2024-02-02 14:00:00,0.11747068
2024-02-02 15:00:00,0.119095154
2024-02-02 16:00:00,0.12092942
2024-02-02 17:00:00,0.12441143
2024-02-02 18:00:00,0.1274697
2024-02-02 19:00:00,0.12801999
2024-02-02 20:00:00,0.12740038
2024-02-02 21:00:00,0.12676316
2024-02-02 22:00:00,0.1262922
2024-02-02 23:00:00,0.12518376
2024-02-03 00:00:00,0.12388407
2024-02-03 01:00:00,0.12321909
2024-02-03 02:00:00,0.1239318
2024-02-03 03:00:00,0.12429798
2024-02-03 04:00:00,0.1248218
2024-02-03 05:00:00,0.12547034
2024-02-03 06:00:00,0.12681995
2024-02-03 07:00:00,0.12825257
2024-02-03 08:00:00,0.12919454
2024-02-03 09:00:00,0.13018934
2024-02-03 10:00:00,0.13296673
2024-02-03 11:00:00,0.13561791
2024-02-03 12:00:00,0.13768788
